episode,timestep,reward
1,800,378.0
4,1600,330.6667
6,2400,537.5
8,3200,305.5
10,4000,458.0
12,4800,537.5
14,5600,538.0
16,6400,469.5
18,7200,475.5
20,8000,458.0
22,8800,378.5
25,9600,382.3333
27,10400,407.0
29,11200,505.0
31,12000,538.0
